Name,Height
Sim Bhullar,89
Al Bianchi,75
Hank Biasatti,71
Henry Bibby,73
Mike Bibby,74
Ed Biedenbach,73
Andris Biedrins,84
Don Bielke,79
Bob Bigelow,79
Chauncey Billups,75
Dave Bing,75
Joe Binion,80
Khem Birch,81
Jabari Bird,78
Jerry Bird,78
Larry Bird,81
Otis Birdsong,75
Gale Bishop,75
Goga Bitadze,83
Bismack Biyombo,80
Nemanja Bjelica,82
Uwe Blab,85
Charlie Black,76
Norman Black,77
Tarik Black,81
Tom Black,82
Rolando Blackman,78
Alex Blackwell,78
Cory Blackwell,78
James Blackwell,72
Nate Blackwell,76
DeJuan Blair,79
Steve Blake,75
Marqus Blakely,77
Antonio Blakeney,76
Will Blalock,72
George Blaney,73
Lance Blanks,76
Ricky Blanton,79
Andray Blatche,83
Mookie Blaylock,NA
Eric Bledsoe,73
Leon Blevins,74
John Block,82
Mike Bloom,78
Jaron Blossomgame,80
Corie Blount,82
Mark Blount,84
Vander Blue,77
Trevon Bluiett,78
Ray Blume,76
Nelson Bobb,72
Tony Bobbitt,76
Arlen Bockhorn,76
Tom Boerwinkle,84
Keith Bogans,77
Bogdan Bogdanovic,78
Bojan Bogdanovic,79
Muggsy Bogues,NA
Andrew Bogut,84
Etdrick Bohannon,NA
Bol Bol,86
Manute Bol,90
Jonah Bolden,80
Bill Bolger,77
Joel Bolomboy,81
Doug Bolstorff,76
George H. Bon Salle,80
Phil Bond,74
Walter Bond,77
Jordan Bone,74
Dexter Boney,76
Isaac Bonga,80
Ron Bonham,76
Anthony Bonner,80
Matt Bonner,82
Devin Booker,77
Melvin Booker,74
Trevor Booker,80
Josh Boone,82
Ron Boone,74
Calvin Booth,83
Keith Booth,78
Bob Boozer,80
Carlos Boozer,81
Curtis Borchardt,84
Jake Bornheimer,77
Lazaro Borrell,80
Costic Borsavage,80
Vince Boryla,77
Chris Bosh,83
Jim Bostic,79
Lawrence Boston,80
Tom Boswell,80
Chris Boucher,81
Ruben Boumtje-Boumtje,84
Don Boven,76
Cal Bowdler,82
Bruce Bowen,79
Ryan Bowen,81
Brian Bowen II,78
Anthony Bowie,78
Sam Bowie,85
Ira Bowman,NA
Ky Bowman,73
Nate Bowman,82
Donnie Boyce,77
Dennis Boyd,73
Fred Boyd,74
Ken Boyd,77
Earl Boykins,65
Harry Boykoff,81
Winford Boynes,78
Cedric Bozeman,78
Steve Bracey,73
Craig Brackins,82
Gary Bradds,80
Alex Bradley,78
Alonzo Bradley,78
Avery Bradley,75
Bill Bradley,77
Charles Bradley,77
Dudley Bradley,78
Joe Bradley,75
Michael Bradley,82
Shawn Bradley,90
Tony Bradley,82
Mark Bradtke,82
Marques Bragg,80
Torraye Braggs,80
A.J. Bramlett,82
Adrian Branch,79
Elton Brand,81
Terrell Brandon,71
Bob Brannum,78
Brad Branson,82
Jesse Branson,79
Jarrell Brantley,77
Jim Brasco,73
Mike Bratz,74
Carl Braun,77
Ignas Brazdeikis,78
Tim Breaux,79
J.R. Bremer,74
Pete Brennan,78
Tom Brennan,75
Randy Breuer,87
Corey Brewer,81
Jamison Brewer,76
Jim Brewer,81
Ron Brewer,76
Ronnie Brewer,79
Primoz Brezec,85
Frank Brian,73
Frank Brickowski,81
Junior Bridgeman,77
Bill Bridges,77
Mikal Bridges,78
Miles Bridges,78
Al Brightman,74
Audley Brindley,76
Isaiah Briscoe,75
John Brisker,77
Oshae Brissett,79
Allan Bristow,79
Tyrone Britt,76
Wayman Britt,74
Mike Brittain,84
David Britton,76
Jon Brockman,79
Ryan Broekhoff,78
Jim Brogan,76
Malcolm Brogdon,77
Gary Brokaw,76
Price Brookfield,76
Aaron Brooks,72
Dillon Brooks,79
Kevin Brooks,78
MarShon Brooks,77
Michael Brooks,79
Scott Brooks,71
Andre Brown,81
Anthony Brown,79
Bob Brown,76
Bobby Brown,74
Bruce Brown,76
Chucky Brown,80
Damone Brown,80
Darrell Brown,74
Dee Brown,NA
Dee Brown,72
Derrick Brown,80
Devin Brown,77
Ernest Brown,84
Fred Brown,75
George Brown,78
Gerald Brown,76
Harold Brown,72
Jabari Brown,77
Jaylen Brown,78
John Brown,79
Kedrick Brown,79
Kwame Brown,83
Leon Brown,75
Lewis Brown,83
Lorenzo Brown,77
Marcus Brown,NA
Markel Brown,75
Mike Brown,82
Moses Brown,86
Myron Brown,75
P.J. Brown,83
Randy Brown,74
Raymond Brown,80
Rickey Brown,82
Roger Brown,83
Shannon Brown,75
Stan Brown,75
Sterling Brown,77
Tierre Brown,74
Tony Brown,78
Charlie Brown Jr.,78
Troy Brown Jr.,78
Jim Browne,82
Stanley Brundy,78
Jalen Brunson,73
Rick Brunson,76
Nicolas Brussino,80
Emmette Bryant,73
Joe Bryant,82
Kobe Bryant,78
Mark Bryant,81
Thomas Bryant,82
Wallace Bryant,84
Torgeir Bryn,81
Joe Buckhalter,79
Steve Bucknall,78
Cleveland Buckner,81
Greg Buckner,76
Quinn Buckner,75
Dave Budd,78
Chase Budinger,79
Walter Budko,77
Jud Buechler,78
Rodney Buford,77
Matt Bullard,82
Reggie Bullock,78
Greg Bunch,78
Dick Bunt,72
Bill Buntin,79
Luther Burden,74
Pat Burke,83
Trey Burke,72
Roger Burkman,77
Alec Burks,78
Antonio Burks,72
Kevin Burleson,75
Tom Burleson,86
Jack Burmaster,75
David Burns,74
Evers Burns,80
Jim Burns,75
Scott Burrell,79
Art Burris,77
Junior Burrough,80
Bob Burrow,79
Deonte Burton,76
Ed Burton,78
Willie Burton,80
Steve Burtt,74
Don Buse,76
